Country/Region,Lat,Long,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20
South Australia | Australia ,-34.9285,138.6007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,6,6,6,6,6,8,8,15,18,19,28,28,36,41,49,66,99,133,169,169,234,256,286,298,304,336,366,366,395,406,406,410,410,414,419,427,428,428,428,432,432,432,434,434,434,434,436,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
Taiwan* ,23.7,121.0,17,17,17,17,17,17,19,21,21,22,23,25,25,27,29,30,31,31,33,38,39,40,41,41,43,44,44,44,44,46,47,48,49,52,58,66,76,99,107,134,152,168,194,214,234,251,266,282,297,305,321,328,338,347,354,362,372,375,378,379,381,384,387,392,392,394,394,394,397,419,421,424,425,426,427,428,428,428,428,428,428,428,431,435,437,437,438,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,440,440,440,440,440,440,440,441,441,441,442,442,442,442,442,442,442,442,442,442,442,442,442,442,444,444,444,445,445,445
Zimbabwe ,-20.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,6,6,6,7,7,8,8,8,8,9,10,10,10,12,13,13,16,16,22,22,23,24,24,24,27,27,27,28,30,30,31,31,31,39,39,33,33,33,33,33,33,33,34,35,35,35,36,36,41,41,43,45,45,47,50,50,55,55,55,55,131,148,148,173,177,202,205,221,236,264,278,281,286,313,319,331,342,355,382,386,390,400,462,478,478
Reunion | France ,-21.1351,55.2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,8,8,11,13,27,44,63,70,93,110,134,144,182,182,223,246,280,307,320,333,343,348,357,357,361,381,387,388,390,390,390,393,401,406,407,407,409,409,411,411,416,416,417,417,419,419,421,422,422,423,423,424,426,425,430,435,435,436,438,439,440,442,442,445,445,446,448,448,451,451,455,458,459,464,469,470,470,472,476,477,478,479,479,479,480,480,485,486,487,488,494,495,494,496,501,503,504
Tanzania ,-6.369,34.8888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,11,11,11,11,12,12,13,13,18,18,19,19,19,19,21,23,23,24,24,31,31,31,48,52,87,93,146,146,169,253,253,283,283,298,298,298,298,298,479,479,479,479,479,479,479,479,479,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508
Libya ,26.3351,17.228331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,9,9,10,10,17,17,18,19,20,23,23,23,24,25,34,47,48,48,48,50,50,50,58,59,60,60,60,60,60,60,60,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,64,64,64,67,68,70,71,74,74,74,76,98,104,117,129,155,167,181,195,208,238,255,255,331,358,377,392,408,417,453,466,483,499,509,519,543
Togo ,8.6195,0.8248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,15,17,19,22,22,24,24,24,29,33,35,38,39,40,43,57,64,69,72,75,75,75,76,76,80,80,82,83,83,83,85,87,87,89,95,97,97,98,108,115,122,122,123,125,127,127,134,144,152,173,180,198,218,237,262,297,300,329,337,339,353,362,372,380,385,390,394,421,427,432,441,442,444,451,464,484,486,494,496,500,521,523,524,529,529,530,536,543,546,554,560
Channel Islands | United Kingdom ,49.3723,-2.3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,5,5,10,13,31,31,35,35,45,65,87,96,107,140,140,171,192,231,261,308,322,334,350,360,397,406,430,435,439,446,456,469,483,487,487,495,497,520,522,524,524,524,529,536,536,537,542,543,543,544,544,544,544,544,544,545,546,547,548,548,553,553,554,554,557,557,557,557,557,558,558,559,559,559,559,559,559,559,560,560,560,562,562,563,564,564,564,564,564,564,567,567,569,569,569,569
Chongqing | China ,30.0572,107.874,485,504,517,528,536,543,550,552,554,559,566,571,572,574,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,575,576,577,577,577,577,577,577,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,579,581,581,581,581,581,581,581
Sichuan | China ,30.6171,102.7103,404,416,435,450,462,469,480,494,507,513,519,524,525,525,526,528,530,533,537,537,537,537,537,537,538,538,538,538,538,538,538,538,538,538,538,538,539,539,539,540,541,542,542,544,546,546,547,547,549,549,549,551,553,554,556,557,558,559,559,559,559,559,559,559,559,559,559,559,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,562,562,563,563,563,563,563,563,563,574,576,576,576,577,577,577,580,581,581,581,581,582,582,586,587,588,588,588,588,588
